,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1578531387-HIP25531_intra-0-1.fits,1578531410-HIP25531_extra-0-1.fits,78.53435196,60.92252097,-16.39188424,-4.3,1.2,0.5,0.35,0.35,0,-265.1836024,-135.8076494,32.32264603,39.2909924,-5.008657957,12.04582947,-15.0527945,-12.64454452,-1.446989994
1,1578531549-HIP25531-0-1.fits,1578531579-HIP25531-0-1.fits,77.94976867,61.52488464,-15.53119198,-4.299999213,1.199998662,0.500001555,0.350000651,0.350000651,0,-291.370855,-142.4661037,-1.848970034,38.02580286,-11.53572978,33.08731701,-33.7218481,-11.18136274,-6.588797212
2,1578532646-HIP25531-0-1.fits,1578532669-HIP25531-0-1.fits,73.75123271,65.33968396,-9.584406026,-4.299999213,1.199998662,0.560001555,0.350000651,0.350000651,0,-48.70200277,-62.63157743,-67.50199891,27.24369378,-1.571086566,45.71742254,3.076632207,3.712542848,-4.298570949
3,1578532897-HIP25531-0-1.fits,1578532920-HIP25531-0-1.fits,72.64797333,66.20606561,-8.085664682,-4.299999213,1.199998662,0.568001555,0.350000651,0.350000651,0,43.85991112,-66.56338871,-40.30137169,30.95581425,8.106064648,65.8775078,16.0455726,1.792609716,0.714520179
4,1578533133-HIP25531-0-1.fits,1578533156-HIP25531-0-1.fits,71.54836022,67.01914682,-6.616121807,-4.299999213,1.199998662,0.568001555,0.350000651,0.350000651,0,38.42951035,-168.8251625,-53.923813,34.88448044,1.820353001,45.48281823,-8.247662305,4.157316021,-2.413787925
5,1578533524-HIP25531-0-1.fits,1578533547-HIP25531-0-1.fits,69.59312597,68.34980877,-4.059156372,-4.299999213,1.199998662,0.568001555,0.350000651,0.350000651,0,66.02811569,-168.5570866,-72.21254561,37.08968448,9.817654049,45.18842215,-5.381410609,10.08366981,0.083598614
6,1578533874-HIP25531-0-1.fits,1578533912-HIP25531-0-1.fits,67.53479757,69.60617689,-1.438479803,-4.299999213,1.199998662,0.568001555,0.350000651,0.350000651,0,67.90152982,-71.52363895,-123.2142669,46.37800698,19.51526552,49.32316204,30.94049821,-0.215977543,3.377143117
7,1578534435-HIP25531-0-1.fits,1578534473-HIP25531-0-1.fits,64.02870618,71.4523732,2.878411159,-4.299999213,1.199998662,0.564001555,0.350000651,0.350000651,0,200.4404393,52.87023897,-95.01171019,54.17254901,9.517341897,22.67365077,85.31862319,10.06883819,-3.30493245
8,1578534913-10Lep-0-1.fits,1578534957-10Lep-0-1.fits,61.95346132,72.29817158,126.6535994,-4.299999213,1.199998662,0.564001555,0.350000651,0.350000651,0,111.0486622,-115.8258516,97.1750365,-84.05566237,68.60849147,16.95625749,55.29406303,12.24689131,11.28788853
9,1578535411-10Lep-0-1.fits,1578535439-10Lep-0-1.fits,58.13096238,73.80068354,-10.72236294,-4.299999213,1.199998662,0.564001555,0.350000651,0.350000651,0,154.6298231,-78.3069016,-203.122923,133.752058,-11.94625637,72.992636,10.83416518,22.92134404,7.357506539
10,1578535681-10Lep-0-1.fits,1578535709-10Lep-0-1.fits,55.70125027,74.61737952,-7.968669519,-4.299999213,1.199998662,0.534001555,0.350000651,0.350000651,0,66.40830669,-138.6268564,-95.56478527,144.9401799,22.34698898,67.07285029,34.54897861,-0.441415907,4.355830746
11,1578536657-10Lep-0-1.fits,1578536685-10Lep-0-1.fits,44.66985101,77.34293127,-2.46591918,-4.299999213,1.199998662,0.534001555,0.350000651,0.350000651,0,-12.74960435,-52.16385248,-92.34831868,139.5124934,-13.34254306,78.87903314,29.72124587,-12.84402469,16.26411022
