,intra,extra,az,el,rot_pos,x,y,z,u,v,w,m1_pressure,dz
0,AT_O_20200218_000167.fits,AT_O_20200218_000168.fits,170.5799855261075,64.50806038907908,59.114450175708924,-5.444468975067139,0.9130426049232483,-0.5028411746025085,0.3499999940395355,0.3499999940395355,0.0,113614.71976618617,0.8
1,AT_O_20200218_000169.fits,AT_O_20200218_000170.fits,172.4787345248951,64.69443047382143,61.664930118681546,-5.446218967437744,1.211675763130188,-0.5028411746025085,0.3499999940395355,0.3499999940395355,0.0,113764.73260835798,0.8
2,AT_O_20200218_000171.fits,AT_O_20200218_000172.fits,173.04323748699693,64.74320718877114,63.087051484028514,-5.446631908416748,1.5113528966903687,-0.5028411746025085,0.3499999940395355,0.3499999940395355,0.0,113846.62410505995,0.8
3,AT_O_20200218_000173.fits,AT_O_20200218_000174.fits,173.63421885266592,64.78766625250864,62.13737661445177,-5.447021007537842,1.811049222946167,-0.5028411746025085,0.3499999940395355,0.3499999940395355,0.0,113901.38951067242,0.8
4,AT_O_20200218_000175.fits,AT_O_20200218_000176.fits,174.20018175054562,64.82633095536688,61.23311285799297,-5.44736385345459,2.110781192779541,-0.5028411746025085,0.3499999940395355,0.3499999940395355,0.0,113946.82834850492,0.8
5,AT_O_20200218_000177.fits,AT_O_20200218_000178.fits,175.0391415210888,64.87669394254466,59.90606041486841,-5.4477996826171875,0.6104409694671631,-0.5028411746025085,0.3499999940395355,0.3499999940395355,0.0,114030.05885969926,0.8
6,AT_O_20200218_000181.fits,AT_O_20200218_000182.fits,176.21005081709265,64.93331277986208,58.06058080380195,-5.448286056518555,0.31006088852882385,-0.5028411746025085,0.3499999940395355,0.3499999940395355,0.0,114067.65177133789,0.8
7,AT_O_20200218_000184.fits,AT_O_20200218_000185.fits,177.13599637299004,64.96656115788991,56.61852045361788,-5.448561191558838,0.009845990687608719,-0.5028411746025085,0.3499999940395355,0.3499999940395355,0.0,114060.46455116723,0.8
8,AT_O_20200218_000187.fits,AT_O_20200218_000188.fits,177.85999599698704,64.98455976722046,55.50008562234567,-5.448698043823242,-0.2902609705924988,-0.5028411746025085,0.3499999940395355,0.3499999940395355,0.0,114086.0831065877,0.8
9,AT_O_20200218_000190.fits,AT_O_20200218_000191.fits,178.96794524279656,65.00332581270176,59.54940903914486,-5.4488630294799805,0.9096100330352783,-0.5028411746025085,0.3499999940395355,0.3499999940395355,0.0,114076.08105149044,0.8
